,id,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
0,1,0.095870234,0.043153387,0.028343456,0.066222854,0.07331472,0.027839154,0.026972938,0.02787801,0.015428961,0.03188348,0.055519965,0.024676662,0.012225667,0.020580104,0.010548998,0.03986422,0.0037403083,0.034081195,0.040080648,0.0068274336,0.040649276,0.0061112363,0.030632177,0.0066343574,0.009664641,0.026123295,0.017795458,0.17733715
1,2,0.0901533,0.047180884,0.022990976,0.06465543,0.072204635,0.028254436,0.03240821,0.027264275,0.015084266,0.031902023,0.05395823,0.020167274,0.012135646,0.019865766,0.010895174,0.0357074,0.0036465353,0.03556868,0.03610558,0.0068978155,0.04040322,0.0067113684,0.03637555,0.007184454,0.010481454,0.026320633,0.018936941,0.1865398
2,3,0.049239833,0.039170127,0.03406244,0.06992756,0.06981386,0.021267477,0.029413396,0.03217935,0.011163027,0.033534512,0.0502664,0.017640265,0.007377224,0.015858887,0.008961544,0.027331274,0.0018442117,0.022860264,0.025342165,0.0049930406,0.030178243,0.0035095138,0.028347362,0.003835758,0.0065364563,0.02339486,0.016180277,0.31577072
3,4,0.08136166,0.04134499,0.028915504,0.062044684,0.07427726,0.026496738,0.029991213,0.03206942,0.013262151,0.034148082,0.053673718,0.018637912,0.009856582,0.020804765,0.010475923,0.044348788,0.0030810637,0.0321733,0.03457428,0.00615686,0.03601931,0.0049855253,0.030454792,0.0053669494,0.008458908,0.022508115,0.01830015,0.21621132
4,5,0.052633222,0.030403314,0.029251575,0.06316921,0.0661673,0.025519032,0.027352603,0.033118974,0.012335261,0.026817665,0.054656576,0.020318791,0.008683402,0.012700786,0.008421995,0.013058698,0.004102196,0.022085655,0.03555388,0.005901705,0.028774805,0.0046108486,0.025993947,0.0043840585,0.0072010388,0.021024369,0.012618832,0.34314018
5,6,0.08680906,0.04777344,0.026513739,0.06346469,0.07291915,0.029684326,0.02988687,0.027866509,0.015923224,0.030334165,0.05608869,0.023814071,0.013605686,0.02165513,0.011658027,0.042405542,0.004340304,0.037183765,0.033056818,0.00733613,0.039692108,0.0069756964,0.034955394,0.0074421163,0.0118629625,0.0271548,0.018020108,0.1715775
6,7,0.059012532,0.036606114,0.03151473,0.06623025,0.06708426,0.022837305,0.027706502,0.03371683,0.012979722,0.02798156,0.05170968,0.020065056,0.008227778,0.014389198,0.008882361,0.015279215,0.00338155,0.023240844,0.027027663,0.005847867,0.027080454,0.0046707327,0.026155856,0.0044531734,0.0064729843,0.02120616,0.013099822,0.3331398
7,8,0.071546346,0.037367877,0.028434824,0.06587449,0.07808844,0.029554203,0.03500672,0.028565818,0.013982163,0.031797685,0.060452882,0.021365786,0.011010311,0.016658513,0.010259112,0.033896383,0.0031034914,0.028829677,0.03555277,0.0068348967,0.04019515,0.005469656,0.03270296,0.0059184134,0.0089560235,0.024994444,0.016580975,0.21700002
8,9,0.077706136,0.044447944,0.022494767,0.06130394,0.067272075,0.03645313,0.030377211,0.025072102,0.021026831,0.031655125,0.054002002,0.03112334,0.016724123,0.022424454,0.014577518,0.0521811,0.0058757425,0.039465766,0.04062753,0.01075598,0.049889393,0.010398667,0.041769955,0.011382242,0.016306845,0.032667045,0.018856915,0.11316214
9,10,0.086242236,0.040168647,0.026501987,0.058355805,0.07141688,0.030862225,0.027058236,0.026968429,0.017139073,0.03269448,0.046861276,0.023730565,0.012622769,0.021043494,0.011671776,0.056655407,0.003652657,0.037368383,0.036706697,0.0078353835,0.04977907,0.006700898,0.036430836,0.0075668604,0.011514538,0.031516783,0.01824102,0.16269359
10,11,0.07274093,0.036919314,0.023659043,0.053827375,0.0766463,0.024099737,0.03063615,0.033636577,0.011169,0.02908482,0.056525055,0.015573689,0.008968084,0.016832188,0.008313325,0.029900199,0.0027832903,0.026537042,0.029218474,0.005233659,0.028615592,0.0044947113,0.02755338,0.0050141835,0.0071558394,0.018703537,0.01601878,0.30013976
11,12,0.07109284,0.045510564,0.02989011,0.07422976,0.07076078,0.02535303,0.031671405,0.032497887,0.01375366,0.031268537,0.056553185,0.02129827,0.00979865,0.01868851,0.0097420085,0.022061681,0.0037403612,0.025632955,0.03116992,0.006952708,0.028732685,0.0054050335,0.030162845,0.005267509,0.007940795,0.02046286,0.016573347,0.2537881
12,13,0.05750453,0.0350085,0.030765282,0.065578185,0.06862234,0.022592448,0.029794147,0.035457462,0.01283072,0.03435995,0.06296147,0.020352246,0.009196776,0.016433418,0.009924025,0.026330499,0.0023914769,0.02388368,0.026518844,0.0059813242,0.03135952,0.0043551074,0.031109674,0.004789481,0.0077572316,0.022956125,0.018419325,0.28276622
13,14,0.06521393,0.039915048,0.030083058,0.06653642,0.069399774,0.023367345,0.030882815,0.036783725,0.012853402,0.031065753,0.055783346,0.019299446,0.009054694,0.018516444,0.009398823,0.021114903,0.0034604783,0.025019828,0.032063324,0.006458752,0.027049514,0.0046032574,0.028160324,0.004938191,0.007236898,0.020938508,0.016694352,0.28410769
14,15,0.089364775,0.036733475,0.023319185,0.055043098,0.071737185,0.023882622,0.032597538,0.03641155,0.01396268,0.030638007,0.056191135,0.019637724,0.009635484,0.019391952,0.009364825,0.023999523,0.0038044492,0.028087748,0.030772593,0.006414002,0.030198354,0.006077006,0.030521804,0.0061110244,0.008263923,0.019258033,0.021227207,0.2573531
15,16,0.0885856,0.047034446,0.029380549,0.06645696,0.07389868,0.024160383,0.02531218,0.030513734,0.013110254,0.030655025,0.047684517,0.019671662,0.008707078,0.020768147,0.009228896,0.03353124,0.0026519399,0.03220125,0.03726632,0.005696657,0.032615203,0.0043536234,0.026563715,0.0046036527,0.0071949684,0.023054713,0.015876137,0.23922254
16,17,0.079673655,0.032828785,0.026306704,0.044090524,0.06761799,0.027595302,0.025138628,0.029360414,0.012186541,0.028606325,0.03818852,0.013995369,0.007380596,0.0205898,0.009268552,0.056914054,0.0021022712,0.03248925,0.042714708,0.005216952,0.03832032,0.0042552915,0.026460236,0.0045352345,0.00783092,0.024503967,0.01815042,0.27367875
